Year,age,PresentAddress,CrimeGroup_Name
2024,40,"MURUDI,TQ ILAKL",THEFT
2024,38,"MURUDI,TQ ILAKL",THEFT
2016,34,"PATTADAKALL,BADAMI",THEFT
2016,28,"NANDIKESHWAR NOW AT BADAMI,",THEFT
2016,56,"Halakurki,Badami",THEFT
2016,50,"Jalihal BN,Badami",THEFT
2016,43,"Jalihal BN,Badami",THEFT
2016,70,"Karadigudda SN,Badami",BURGLARY - NIGHT
2016,16,"Kallipet Galli Bdami,Badami",THEFT
2016,28,"Kataraki,Badami",THEFT
2016,45,"Neelagund,Badami",MURDER
2016,53,"ALUR SK,BADAMI",MURDER
2016,28,"Raghapur,Badami",BURGLARY - NIGHT
2016,24,"Raghapur,Badami",BURGLARY - NIGHT
2016,46,"GUDUR,HUNAGUND",THEFT
2016,18,"Muttalageri,Badami",THEFT
2016,61,"LAKAMAPUR,BADAMI",THEFT
2016,9,"Nandikeshwar,Badami",THEFT
2016,20,"Kudagunti,Yalaburga",BURGLARY - NIGHT
2016,0,"Alamatti,Vijaypur",BURGLARY - NIGHT
2016,45,"Basavan Bagewadi,Basavan Bagewadi",THEFT
2016,61,"Basavan Bagewadi,Basavan Bagewadi",BURGLARY - NIGHT
2016,63,"Basavan Bagewadi,Basavan Bagewadi",THEFT
2016,44,"ANAND NAGAR BADAMI,BADAMI",THEFT
2017,68,"KONNUR,NARAGUND",THEFT
2017,36,"Jalihal,Badami",THEFT
2017,22,"KUDALASANGAM,TQ-HUNAGUNDA",THEFT
2017,65,"Talakawad,Badami",THEFT
2017,45,"KITTALI,TQ-BADAMI",THEFT
2017,24,"JALIHAL,TA-BADAMI",THEFT
2017,30,"HALEROLLI LT,BASAVAN BAGEWADI",MURDER
2017,40,"ADAGAL,BADAMI",THEFT
2017,40,"KHANAPUR S K,BADAMI",THEFT
2017,18,"Raghapur,Badami",MURDER
2017,21,"Kutakanakeri,Badami",BURGLARY - NIGHT
2017,35,"Hanapur SP,Badami",THEFT
2017,26,"NANDIKESHWAR,BADAMI",BURGLARY - NIGHT
2017,60,"BAGALKOT,BAGALKOT",BURGLARY - NIGHT
2017,42,"KUTAKANAKERI,BADAMI",BURGLARY - NIGHT
2017,63,"KULAGERI,TQ-BADAMI",THEFT
2017,45,"SOMANAKOPPA,BADAMI",MURDER
2017,8,"SULLA,BADAMI",MURDER
2017,34,"BELAVALAKOPPA,BADAMI",THEFT
